word,translation
suppose,假设，认为
birthmark,胎记，胎痣
bright,鲜艳的
strawberry,草莓
secretly,秘密地
crowded,拥挤的(地方的)，挤满的
disaster,灾难，灾祸
therefore,因此，所以，因以
cover,遮盖
instead,代替，而不是
instead of,代替，而不是
although,虽然，尽管
bathroom,浴室，卫生间
quickly,快速地
truly,真实地，确实地
paint,（给……）涂颜料
yet,还，尚
already,已经
difference,差别，差异
hate,讨厌，不喜欢
successful,有成就的，出人头地的
scientific,科学(上)的
wise,明智的，明白的
perfect,(动词的)完成式
underline,在……之下画线
row,一排，一行，一列
primary,小学教育的，初级教育的
reach,到达(以触摸或伸展)
height,高度，身高
literature,文学，文学作品
search,寻找，搜寻
value,价值
character,(书，电影，戏剧中的)人物，角色
wizard,男巫
impossible,不可能发生的，办不到的
nothing,没有任何东西，空无一物
British,英国的，英国人的
actress,女演员
silver,银制的，银色的
silver screen,电影业
doubt,怀疑
fear,害怕，恐惧，担忧
succeed,成功，达成
excellent,卓越的，极好的
second,秒
satisfy,使(某人)满意
risky,有危险的，有风险的
zero,零
athlete,运动员，田径运动员
Olympics,奥林匹克运动会，奥运会
youngster,年轻人
stick,粘，贴
stick to,坚持
superman,超人
